Sample in Buffer,Sample in Window,TRIGGER,m_axi_awvalid_0,m_axi_awready[0:0],m_axi_awaddr_o[0][31:0],m_axi_awprot_o[0][2:0],m_axi_wvalid_0,m_axi_wready_1[0:0],m_axi_wdata_o[0][31:0],m_axi_wstrb_o[0][3:0],m_axi_bvalid_1[0:0],m_axi_bready_0,m_axi_arvalid_0,m_axi_arready_1[0:0],m_axi_araddr_o[0][31:0],m_axi_arprot_o[0][2:0],m_axi_rvalid_1[0:0],m_axi_rready_0,m_axi_rdata_o[0][31:0],m_axi_awvalid_1,m_axi_awready_1[1:1],m_axi_awaddr_o[1][31:0],m_axi_awprot_o[1][2:0],m_axi_wvalid_1,m_axi_wready[1:1],m_axi_wdata_o[1][31:0],m_axi_wstrb_o[1][3:0],m_axi_bvalid[1:1],m_axi_bready_1,m_axi_arvalid_1,m_axi_arready[1:1],m_axi_araddr_o[1][31:0],m_axi_arprot_o[1][2:0],m_axi_rvalid[1:1],m_axi_rready_1,m_axi_rdata_o[1][31:0],RST_IBUF,GPIO_PinIn[31:0],GPIO_PinOut[31:0],GPIO_Rx[31:0],GPIO_Tx[31:0],GPIO_Strength[31:0],GPIO_Pulldown[31:0],GPIO_Pullup[31:0],PROGADDR_IRQ[31:0]
20,20,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
21,21,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
22,22,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
23,23,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
24,24,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
25,25,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
26,26,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
27,27,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
28,28,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
29,29,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
30,30,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
31,31,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
32,32,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
33,33,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
34,34,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
35,35,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
36,36,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
37,37,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
38,38,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
39,39,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
40,40,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
41,41,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
42,42,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
43,43,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
44,44,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
45,45,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
46,46,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
47,47,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
48,48,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
49,49,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
50,50,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
51,51,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
52,52,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
53,53,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
54,54,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
55,55,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
56,56,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
57,57,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
58,58,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
59,59,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
60,60,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
61,61,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
62,62,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
63,63,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
64,64,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
65,65,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
